"id","text"
68,"president trump enemies media enemy hate uu hate apologies eternity desks broadcasting media war united boston ma"
69,"ethics complaint ted cruz josh hawley moving senate"
70,"lying ted"
71,"dear aoc attending friends hearing"
72,"pt day read stands asap cover"
73,"bad socialism communism bird people hear ideas"
74,"hate ted cruz dick kidding ted cruz dick"
75,"miscarriage civil justice london county courtsproving systematic corruption judiciary serial viols arts echr offices uk moj mb zip archive"
76,"aoc poor lass"
77,"kicked united"
78,"week aoc minute remarks rose house censure debate stunning definition american democracy differences represents district speaks languages"
79,"raise hand ted cruz pathetic coward"
80,"typical lefty lash dish crap screw democrats aint gonna whats coming"
81,"john delaney left aoc"
82,"jim jordan lauren boebert marjorie names mo brooks madison cawthorn paul gosar josh hawley ted cruz kevinmccarthy people testified select committee emails phone records circle"
83,"remove pelosi aoc rest squad wont limiting"
84,"glyphosate herbicide key driver reduced carbon emissions agriculture academic study"
85,"st century apartheid courtesy americans tax dollars"
86,"people bannon stone trump rittenhouse breal law law consequence people fed double standards aoc living laws apply"
87,"hey sparky difficulties comprehending written english language fu idea bonds dont families racist murdered people including kids maimed hurt idea"
88,"democrat tears aoc radical dems past bail reform comments waukesha tragedy"
89,"giveaway alert hotspawn teamed giveaway amazing gear bundle includes ultraw"
90,"passion america hope"
91,"antiamerican extremist ted cruz doesnt bullshit"
92,"enjoy reminding gop morally ethically bankrupt kevin mccarthy rambles"
93,"chrystul kizer kenosha wi age shot killed held captive sexually abused found guilty st degree murder hope fight girls defend"
94,"aoc talk darrell brooks poster child"
95,"remains shameless pos"
96,"dear aoc attending friends hearing"
97,"ive voted righttotrylegalization bill voted aocs amendment research magic mushrooms stood amash ky prosecuted fda selling natural remedies bill farm bill amendment hemp"
98,"makes rino mtg complete circus brought drama aoc talks horrible lin shes constantly bringing drama congress im sick leaders congress mess bring integrity god sake"
99,"waukesha massacre suspect makes court appearance bail set million doubt kamala raise funds aoc complain bail"
100,"hollywood left dont itstephen colbert suggests selfdefense rittenhouse acquittal ted"
